class_idx,wnid,class_name,natural,handheld,indoor,self_moving,soft,elongated
132,n02123045,tabby,1,1,1,1,1,0
133,n02123159,tiger cat,1,1,1,1,1,0
134,n02123394,persian cat,1,1,1,1,1,0
135,n02123597,siamese cat,1,1,1,1,1,0
136,n02124075,egyptian cat,1,1,1,1,1,0
137,n02125311,cougar,1,0,0,1,1,0
138,n02127052,lynx,1,0,0,1,1,0
139,n02128385,leopard,1,0,0,1,1,0
140,n02128757,snow leopard,1,0,0,1,1,0
141,n02128925,jaguar,1,0,0,1,1,0
142,n02129165,lion,1,0,0,1,1,0
143,n02129604,tiger,1,0,0,1,1,0
144,n02130308,cheetah,1,0,0,1,1,0
145,n02132136,brown bear,1,0,0,1,1,0
146,n02133161,american black bear,1,0,0,1,1,0
147,n02134084,ice bear,1,0,0,1,1,0
148,n02134418,sloth bear,1,0,0,1,1,0
149,n02137549,mongoose,1,1,0,1,1,1
150,n02138441,meerkat,1,1,0,1,1,0
151,n02165105,tiger beetle,1,1,0,1,0,0
152,n02165456,ladybug,1,1,0,1,0,0
153,n02167151,ground beetle,1,1,0,1,0,0
154,n02168699,long-horned beetle,1,1,0,1,0,1
155,n02169497,leaf beetle,1,1,0,1,0,0
156,n02177972,weevil,1,1,0,1,0,0
157,n02190166,fly,1,1,0,1,0,0
158,n02200198,mosquito,1,1,0,1,0,0
159,n02206856,bee,1,1,0,1,0,0
160,n02219486,ant,1,1,0,1,0,0
161,n02226429,grasshopper,1,1,0,1,0,1
162,n02229544,cricket,1,1,0,1,0,0
163,n02231487,walking stick,1,1,0,1,0,1
164,n02233338,cockroach,1,1,0,1,0,0
165,n02236044,mantis,1,1,0,1,0,1
166,n02256656,cicada,1,1,0,1,0,0
167,n02259212,leafhopper,1,1,0,1,0,0
168,n02262449,mayfly,1,1,0,1,0,1
169,n02264363,lacewing,1,1,0,1,0,0
170,n02268443,dragonfly,1,1,0,1,0,1
171,n02268853,damselfly,1,1,0,1,0,1
172,n02274822,nymphalid,1,1,0,1,0,0
173,n02277742,ringlet,1,1,0,1,0,0
174,n02279972,monarch,1,1,0,1,0,0
175,n02280649,cabbage butterfly,1,1,0,1,0,0
176,n02281406,sulphur butterfly,1,1,0,1,0,0
177,n02281787,lycaenid,1,1,0,1,0,0
178,n02283201,moth,1,1,0,1,0,0
179,n02317335,starfish,1,1,0,1,0,0
180,n02319095,sea urchin,1,1,0,1,0,0
181,n02321529,sea cucumber,1,1,0,1,1,1
182,n02325366,wood rabbit,1,1,0,1,1,0
183,n02326432,hare,1,1,0,1,1,0
184,n02328150,angora,1,1,1,1,1,0
185,n02441942,weasel,1,1,0,1,1,1
186,n02442845,mink,1,1,0,1,1,1
187,n02443114,polecat,1,1,0,1,1,1
188,n02443484,black-footed ferret,1,1,0,1,1,1
189,n02444819,otter,1,0,0,1,1,1
190,n02445715,skunk,1,1,0,1,1,0
191,n02447366,badger,1,0,0,1,1,0
192,n02480495,orangutan,1,0,0,1,1,0
193,n02480855,gorilla,1,0,0,1,1,0
194,n02481823,chimpanzee,1,0,0,1,1,0
195,n02483362,gibbon,1,0,0,1,1,0
196,n02483708,siamang,1,0,0,1,1,0
197,n02484975,guenon,1,1,0,1,1,0
198,n02486261,patas,1,0,0,1,1,0
199,n02486410,baboon,1,0,0,1,1,0
200,n02487347,macaque,1,0,0,1,1,0
201,n02488291,langur,1,1,0,1,1,0
202,n02488702,colobus,1,1,0,1,1,0
203,n02489166,proboscis monkey,1,0,0,1,1,0
204,n02490219,marmoset,1,1,0,1,1,0
205,n02492660,howler monkey,1,1,0,1,1,0
206,n02493509,titi,1,1,0,1,1,0
207,n02493793,spider monkey,1,1,0,1,1,0
208,n02494079,squirrel monkey,1,1,0,1,1,0
209,n02497673,madagascar cat,1,1,0,1,1,0
210,n02500267,indri,1,1,0,1,1,0
211,n02504013,indian elephant,1,0,0,1,1,0
212,n02504458,african elephant,1,0,0,1,1,0
213,n02508021,raccoon,1,0,0,1,1,0
214,n02509815,lesser panda,1,1,0,1,1,0
215,n02510455,giant panda,1,0,0,1,1,0
216,n02514041,barracouta,1,0,0,1,1,1
217,n02536864,coho,1,1,0,1,1,1
218,n02537525,rainbow trout,1,1,0,1,1,1
219,n02568087,striped bass,1,1,0,1,1,1
220,n02640242,sturgeon,1,0,0,1,1,1
221,n02641379,gar,1,0,0,1,1,1
222,n02666196,abacus,0,1,1,0,0,0
223,n02667093,abaya,0,1,1,0,1,0
224,n02669723,academic gown,0,1,1,0,1,0
225,n02672831,accordion,0,1,1,0,0,0
226,n02676566,acoustic guitar,0,1,1,0,0,1
227,n02680754,adjustable wrench,0,1,1,0,0,1
228,n02687172,aircraft carrier,0,0,0,1,0,1
229,n02690373,airliner,0,0,0,1,0,1
230,n02692877,airship,0,0,0,1,0,1
231,n02701002,ambulance,0,0,0,1,0,0
232,n02704792,amphibian,0,0,0,1,0,0
233,n02708093,analog clock,0,1,1,0,0,0
234,n02727426,apiary,0,0,0,0,0,0
235,n02730930,apron,0,1,1,0,1,0
236,n02738535,armchair,0,0,1,0,1,0
237,n02747177,ashcan,0,0,0,0,0,0
238,n02764044,ax,0,1,0,0,0,1
239,n02769748,backpack,0,1,1,0,1,0
240,n02773838,bag,0,1,1,0,1,0
241,n02776631,bakery,0,0,0,0,0,0
242,n02777292,balance beam,0,0,1,0,0,1
243,n02782093,balloon,0,1,1,0,1,0
244,n02783161,ballpoint,0,1,1,0,0,1
245,n02786058,band aid,0,1,1,0,1,1
246,n02787622,banjo,0,1,1,0,0,1
247,n02788148,bannister,0,0,1,0,0,1
248,n02790996,barbell,0,1,1,0,0,1
249,n02791124,barber chair,0,0,1,0,0,0
250,n02791270,barbershop,0,0,1,0,0,0
251,n02793495,barn,0,0,0,0,0,0
252,n02794156,barometer,0,1,1,0,0,0
253,n02795169,barrel,0,0,0,0,0,0
254,n02797295,barrow,0,0,0,1,0,0
255,n02799071,baseball,0,1,0,0,0,0
256,n02802426,basketball,0,1,1,0,1,0
257,n02804414,bassinet,0,0,1,0,0,0
258,n02804610,bassoon,0,1,1,0,0,1
259,n02807133,bathing cap,0,1,1,0,1,0
260,n02807616,bathrobe,0,1,1,0,1,0
261,n02808304,bath towel,0,1,1,0,1,0
262,n02808440,bathtub,0,0,1,0,0,0
263,n02814533,beach wagon,0,0,0,1,0,0
264,n02814860,beacon,0,0,0,0,0,1
265,n02815834,beaker,0,1,1,0,0,0
266,n02817516,bearskin,0,1,0,0,1,0
267,n02823428,beer bottle,0,1,1,0,0,1
268,n02823750,beer glass,0,1,1,0,0,0
269,n02824448,bell,0,1,0,0,0,0
270,n02825657,bell cote,0,0,0,0,0,0
271,n02834397,bib,0,1,1,0,1,0
272,n02835271,bicycle-built-for-two,0,0,0,1,0,1
273,n02837789,bikini,0,1,1,0,1,0
274,n02840245,binder,0,1,1,0,0,0
275,n02841315,binoculars,0,1,1,0,0,0
276,n02843684,birdhouse,0,1,0,0,0,0
277,n02859443,boathouse,0,0,0,0,0,0
278,n02860847,bobsled,0,0,0,1,0,1
279,n02865351,bolo tie,0,1,1,0,1,1
280,n02869837,bonnet,0,1,1,0,1,0
281,n02870880,bookcase,0,0,1,0,0,0
282,n02871525,bookshop,0,0,1,0,0,0
283,n02872752,boot,0,1,1,0,1,0
284,n02877765,bottlecap,0,1,1,0,0,0
285,n02879718,bow,0,1,0,0,0,1
286,n02882647,bowling pin,0,1,1,0,0,1
287,n02883205,bow tie,0,1,1,0,1,0
288,n02887489,brace,0,1,1,0,1,0
289,n02892201,brass,0,1,0,0,0,0
290,n02892767,brassiere,0,1,1,0,1,0
291,n02894605,breakwater,0,0,0,0,0,1
292,n02895154,breastplate,0,1,0,0,0,0
293,n02897820,brick,0,1,0,0,0,0
294,n02898711,bridge,0,0,0,0,0,1
295,n02906734,broom,0,1,1,0,0,1
296,n02909870,bucket,0,1,1,0,0,0
297,n02910353,buckle,0,1,1,0,0,0
298,n02916936,bulletproof vest,0,1,0,0,1,0
299,n02917067,bullet train,0,0,0,1,0,1
300,n02918964,bumper car,0,0,0,1,0,0
301,n02927161,butcher shop,0,0,1,0,0,0
302,n02928608,button,0,1,1,0,0,0
303,n02929289,buttress,0,0,0,0,0,0
304,n02930766,cab,0,0,0,1,0,0
305,n02939185,caldron,0,0,1,0,0,0
306,n02942349,camcorder,0,1,1,0,0,0
307,n02948072,candle,0,1,1,0,0,1
308,n02950632,cannon,0,0,0,0,0,1
309,n02950826,cannon,0,0,0,0,0,1
310,n02951358,canoe,0,0,0,1,0,1
311,n02951585,can opener,0,1,1,0,0,1
312,n02952374,canteen,0,1,0,0,0,0
313,n02956795,cap opener,0,1,1,0,0,1
314,n02963159,cardigan,0,1,1,0,1,0
315,n02965783,car mirror,0,1,0,0,0,0
316,n02966193,carousel,0,0,0,0,0,0
317,n02966687,carpenter's kit,0,1,1,0,0,0
318,n02971356,carton,0,1,1,0,1,0
319,n02977058,cash machine,0,0,0,0,0,0
320,n02979186,cassette player,0,1,1,0,0,0
321,n02980441,castle,0,0,0,0,0,0
322,n02981792,catamaran,0,0,0,1,0,1
323,n02988304,cd player,0,1,1,0,0,0
324,n02992211,cello,0,0,1,0,0,1
325,n02992529,cellular telephone,0,1,1,0,0,0
326,n02997607,ceramic ware,0,1,1,0,0,0
327,n03000134,chainlink fence,0,0,0,0,0,1
328,n03000247,chain mail,0,1,0,0,1,0
329,n03000684,chain saw,0,1,0,0,0,1
330,n03014440,chessman,0,1,1,0,0,0
331,n03014705,chest,0,0,1,0,0,0
332,n03017168,chime,0,1,1,0,0,1
333,n03018349,china cabinet,0,0,1,0,0,0
334,n03018712,chinese lantern,0,1,1,0,1,0
335,n03020692,chisel,0,1,1,0,0,1
336,n03026506,christmas stocking,0,1,1,0,1,1
337,n03028079,church,0,0,0,0,0,0
338,n03032252,cinema,0,0,0,0,0,0
339,n03034663,circular saw,0,1,1,0,0,0
340,n03041632,cleaver,0,1,1,0,0,1
341,n03042490,cliff dwelling,0,0,0,0,0,0
342,n03047690,clog,0,1,1,0,0,0
343,n03062245,cocktail shaker,0,1,1,0,0,0
344,n03063689,coffeepot,0,1,1,0,0,0
345,n03065424,coil,0,1,1,0,0,0
346,n03068998,collar,0,1,1,0,1,1
347,n03071160,colonnade,0,0,0,0,0,1
348,n03075097,comb,0,1,1,0,0,0
349,n03075370,combination lock,0,1,1,0,0,0
350,n03085013,computer keyboard,0,1,1,0,0,1
351,n03089624,confectionery,0,0,1,0,0,0
352,n03095699,container ship,0,0,0,1,0,1
353,n03100240,convertible,0,0,0,1,0,0
354,n03109150,corkscrew,0,1,1,0,0,1
355,n03110669,cornet,0,1,1,0,0,1
356,n03122295,covered wagon,0,0,0,1,0,0
357,n03124170,cowboy hat,0,1,1,0,1,0
358,n03126707,crane,0,0,0,1,0,1
359,n03127747,crash helmet,0,1,1,0,0,0
360,n03127925,crate,0,1,1,0,0,0
361,n03131574,crib,0,0,1,0,0,0
362,n03134739,croquet ball,0,1,0,0,0,0
363,n03141823,crutch,0,1,1,0,0,1
364,n03146219,cuirass,0,1,1,0,0,0
365,n03150511,curling iron,0,1,1,0,0,1
366,n03160309,dam,0,0,0,0,0,1
367,n03179701,desk,0,0,1,0,0,0
368,n03180011,desktop computer,0,0,1,0,0,0
369,n03187595,dial telephone,0,1,1,0,0,0
370,n03188531,diaper,0,1,1,0,1,0
371,n03196217,digital clock,0,1,1,0,0,0
372,n03201208,dining table,0,0,1,0,0,0
373,n03207743,dishrag,0,1,1,0,1,0
374,n03207941,dishwasher,0,0,1,0,0,0
375,n03216828,dock,0,0,0,0,0,1
376,n03218198,dogsled,0,0,0,1,0,1
377,n03220513,dome,0,0,0,0,0,0
378,n03223299,doormat,0,1,1,0,1,0
379,n03239726,drill,0,1,1,0,0,1
380,n03240683,drilling platform,0,0,0,0,0,0
381,n03249569,drum,0,1,1,0,0,0
382,n03250847,drumstick,0,1,1,0,0,1
383,n03255030,dumbbell,0,1,1,0,0,0
384,n03259280,dutch oven,0,1,1,0,0,0
385,n03261776,earphone,0,1,1,0,0,0
386,n03266371,eggbeater,0,1,1,0,0,1
387,n03271574,electric fan,0,1,1,0,0,0
388,n03272010,electric guitar,0,1,1,0,0,1
389,n03272562,electric locomotive,0,0,0,1,0,1
390,n03273740,electric range,0,0,1,0,0,0
391,n03290653,entertainment center,0,0,1,0,0,1
392,n03291819,envelope,0,1,1,0,1,0
393,n03297495,espresso maker,0,1,1,0,0,0
394,n03301568,euphonium,0,1,1,0,0,0
395,n03309356,eyepatch,0,1,1,0,1,0
396,n03314780,face powder,0,1,1,0,0,0
397,n03320519,fancy dress,0,1,1,0,1,0
398,n03325584,feather boa,0,1,1,0,1,1
399,n03329302,ferris wheel,0,0,0,0,0,0
400,n03337140,file,0,1,1,0,0,1
401,n03344393,fireboat,0,0,0,1,0,1
402,n03345487,fire engine,0,0,0,1,0,1
403,n03347037,fire screen,0,0,1,0,0,0
404,n03351979,fishing rod,0,1,0,0,0,1
405,n03355925,flagpole,0,0,0,0,0,1
406,n03358172,flash,0,1,1,0,0,0
407,n03359436,flash memory,0,1,1,0,0,1
408,n03360622,flat bench,0,0,1,0,0,1
409,n03372029,flute,0,1,1,0,0,1
410,n03376595,folding chair,0,1,1,0,0,0
411,n03379051,football helmet,0,1,0,0,0,0
412,n03384352,forklift,0,0,0,1,0,0
413,n03388043,fountain,0,0,0,0,0,0
414,n03388183,fountain pen,0,1,1,0,0,1
415,n03388549,four-poster,0,0,1,0,0,0
416,n03393912,freight car,0,0,0,1,0,1
417,n03394916,french horn,0,1,1,0,0,0
418,n03400231,frying pan,0,1,1,0,0,0
419,n03404251,fur coat,0,1,1,0,1,0
420,n03416489,garage,0,0,0,0,0,0
421,n03417042,garbage truck,0,0,0,1,0,1
422,n03420801,garrison cap,0,1,1,0,1,0
423,n03424325,gasmask,0,1,1,0,1,0
424,n03425413,gas pump,0,0,0,0,0,1
425,n03443371,goblet,0,1,1,0,0,0
426,n03444034,go-kart,0,0,0,1,0,0
427,n03445777,golf ball,0,1,0,0,0,0
428,n03445924,golfcart,0,0,0,1,0,0
429,n03447447,gondola,0,0,0,1,0,1
430,n03447721,gong,0,0,1,0,0,0
431,n03450230,gown,0,1,1,0,1,0
432,n03452741,grand piano,0,0,1,0,0,0
433,n03457902,greenhouse,0,0,0,0,0,0
434,n03459775,grille,0,0,0,0,0,1
435,n03461385,grocery store,0,0,1,0,0,0
436,n03467068,guillotine,0,0,0,0,0,1
437,n03476684,hair slide,0,1,1,0,0,1
438,n03476991,hair spray,0,1,1,0,0,1
439,n03478589,half track,0,0,0,1,0,1
440,n03481172,hammer,0,1,1,0,0,1
441,n03482405,hamper,0,1,1,0,0,0
442,n03483316,hand blower,0,1,1,0,0,0
443,n03483823,hand calculator,0,1,1,0,0,0
444,n03484931,hand glass,0,1,1,0,0,1
445,n03485407,hand-held computer,0,1,1,0,0,0
446,n03485794,handkerchief,0,1,1,0,1,0
447,n03492542,hard disc,0,1,1,0,0,0
448,n03492922,hard hat,0,1,0,0,0,0
449,n03494278,harmonica,0,1,1,0,0,1
450,n03495258,harp,0,0,1,0,0,0
451,n03496892,harvester,0,0,0,1,0,0
452,n03505504,headscarf,0,1,1,0,1,0
453,n03521675,hipflask,0,1,1,0,0,0
454,n03527444,holster,0,1,1,0,1,1
455,n03529860,home theater,0,0,1,0,0,0
456,n03530642,honeycomb,1,1,0,0,0,0
457,n03534580,hoopskirt,0,1,1,0,1,0
458,n03535780,horizontal bar,0,0,1,0,0,1
459,n03538406,horse cart,0,0,0,1,0,0
460,n03543254,hot plate,0,1,1,0,0,0
461,n03544143,hourglass,0,1,1,0,0,1
462,n03545756,house of cards,0,1,1,0,0,0
463,n03557692,ice maker,0,0,1,0,0,0
464,n03558404,ice skate,0,1,0,0,0,1
465,n03571625,ink bottle,0,1,1,0,0,0
466,n03584254,ipod,0,1,1,0,0,0
467,n03584829,iron,0,1,1,0,0,0
468,n03590841,jack-o'-lantern,0,1,0,0,0,0
469,n03594734,jean,0,1,1,0,1,1
470,n03594945,jeep,0,0,0,1,0,0
471,n03595614,jersey,0,1,1,0,1,0
472,n03598930,jigsaw puzzle,0,1,1,0,0,0
473,n03599486,jinrikisha,0,0,0,1,0,0
474,n03602883,joystick,0,1,1,0,0,1
475,n03604400,jumper,0,1,1,0,1,0
476,n03617480,kimono,0,1,1,0,1,0
477,n03623198,knee pad,0,1,0,0,1,0
478,n03627232,knot,0,1,1,0,1,0
479,n03630383,lab coat,0,1,1,0,1,0
480,n03633091,ladle,0,1,1,0,0,1
481,n03636649,lamp,0,1,1,0,0,0
482,n03637318,lampshade,0,1,1,0,0,0
483,n03642806,laptop,0,1,1,0,0,0
484,n03649909,lawn mower,0,0,0,1,0,0
485,n03657121,lens cap,0,1,1,0,0,0
486,n03661043,library,0,0,1,0,0,0
487,n03662601,lifeboat,0,0,0,1,0,1
488,n03666591,lighter,0,1,1,0,0,0
489,n03670208,limousine,0,0,0,1,0,1
490,n03673027,liner,0,0,0,1,0,1
491,n03676483,lipstick,0,1,1,0,0,1
492,n03680355,loafer,0,1,1,0,1,0
493,n03690938,lotion,0,1,1,0,0,1
494,n03691459,loudspeaker,0,0,1,0,0,0
495,n03697007,lumbermill,0,0,0,0,0,0
496,n03701391,machine gun,0,1,0,0,0,1
497,n03709823,mailbag,0,1,0,0,1,0
498,n03710193,mailbox,0,0,0,0,0,0
499,n03710637,maillot,0,1,1,0,1,0
500,n03710721,maillot,0,1,1,0,1,0
501,n03717622,manhole cover,0,1,0,0,0,0
502,n03720891,maraca,0,1,1,0,0,1
503,n03721384,marimba,0,0,1,0,0,1
504,n03724870,mask,0,1,1,0,0,0
505,n03729826,matchstick,0,1,1,0,0,1
506,n03733281,maze,0,0,0,0,0,0
507,n03733805,measuring cup,0,1,1,0,0,0
508,n03742115,medicine chest,0,0,1,0,0,0
509,n03743016,megalith,0,0,0,0,0,0
510,n03757604,metronome,0,1,1,0,0,0
511,n03759954,microphone,0,1,1,0,0,1
512,n03761084,microwave,0,0,1,0,0,0
513,n03763968,military uniform,0,1,1,0,1,0
514,n03770679,minivan,0,0,0,1,0,1
515,n03773504,missile,0,0,0,1,0,1
516,n03775071,mitten,0,1,1,0,1,0
517,n03777568,model t,0,0,0,1,0,0
518,n03781787,monitor,0,0,1,0,0,0
519,n03785016,moped,0,0,0,1,0,1
520,n03786901,mortar,0,1,1,0,0,0
521,n03787032,mortarboard,0,1,1,0,0,0
522,n03788195,mosque,0,0,0,0,0,0
523,n03788365,mosquito net,0,1,1,0,1,0
524,n03791053,motor scooter,0,0,0,1,0,1
525,n03792782,mountain bike,0,0,0,1,0,1
526,n03793489,mouse,0,1,1,0,0,0
527,n03794056,mousetrap,0,1,1,0,0,0
528,n03797390,mug,0,1,1,0,0,0
529,n03804744,nail,0,1,1,0,0,1
530,n03805725,nail polish,0,1,1,0,0,1
531,n03816136,needle,0,1,1,0,0,1
532,n03825788,nipple,0,1,1,0,1,0
533,n03837869,obelisk,0,0,0,0,0,1
534,n03838899,oboe,0,1,1,0,0,1
535,n03841143,odometer,0,1,1,0,0,0
536,n03844815,oilskin,0,1,1,0,1,0
537,n03852688,optical telescope,0,0,0,0,0,1
538,n03854815,organ pipe,0,0,1,0,0,1
539,n03857828,oscilloscope,0,0,1,0,0,0
540,n03868242,oxcart,0,0,0,1,0,0
541,n03868863,oxygen mask,0,1,1,0,1,0
542,n03874599,padlock,0,1,1,0,0,0
543,n03876231,paintbrush,0,1,1,0,0,1
544,n03877472,pajama,0,1,1,0,1,0
545,n03877674,pajama,0,1,1,0,1,0
546,n03884397,panpipe,0,1,1,0,0,1
547,n03886762,paper clip,0,1,1,0,0,0
548,n03887697,paper towel,0,1,1,0,1,1
549,n03888257,parachute,0,0,0,0,1,0
550,n03888605,parallel bars,0,0,1,0,0,1
551,n03891251,park bench,0,0,0,0,0,1
552,n03895866,passenger car,0,0,0,1,0,1
553,n03902125,pay-phone,0,0,0,0,0,0
554,n03908204,pencil,0,1,1,0,0,1
555,n03908714,pencil sharpener,0,1,1,0,0,0
556,n03909406,pendulum clock,0,0,1,0,0,1
557,n03920867,pew,0,0,1,0,0,1
558,n03924679,photocopier,0,0,1,0,0,0
559,n03929855,pickelhaube,0,1,1,0,0,0
560,n03930313,picket fence,0,0,0,0,0,1
561,n03930630,pickup,0,0,0,1,0,1
562,n03940256,pin,0,1,1,0,0,1
563,n03950228,pitcher,0,1,1,0,0,0
564,n03954731,plane,0,1,1,0,0,1
565,n03956157,planetarium,0,0,0,0,0,0
566,n03967562,plow,0,0,0,0,0,0
567,n03970156,plunger,0,1,1,0,0,1
568,n03973628,pocketknife,0,1,1,0,0,1
569,n03974915,point-and-shoot camera,0,1,1,0,0,0
570,n03976467,polaroid camera,0,1,1,0,0,0
571,n03977966,police van,0,0,0,1,0,1
572,n03978966,polo shirt,0,1,1,0,1,0
573,n03980874,poncho,0,1,1,0,1,0
574,n03982232,pool ball,0,1,1,0,0,0
575,n03982430,pool table,0,0,1,0,0,1
576,n04003241,primus stove,0,1,0,0,0,0
577,n04004767,printer,0,0,1,0,0,0
578,n04005630,prison,0,0,0,0,0,0
579,n04009552,projector,0,1,1,0,0,0
580,n04021028,pullover,0,1,1,0,1,0
