class_idx,wnid,class_name,group_id,group_name
87,n01986806,African grey,1,other_mammals_and_birds
88,n01990800,macaw,1,other_mammals_and_birds
89,n01998183,sulphur-crested cockatoo,1,other_mammals_and_birds
90,n02085620,lorikeet,1,other_mammals_and_birds
91,n02086079,coucal,1,other_mammals_and_birds
92,n02087394,bee eater,1,other_mammals_and_birds
93,n02090827,hornbill,1,other_mammals_and_birds
94,n02092002,hummingbird,1,other_mammals_and_birds
95,n02093256,jacamar,1,other_mammals_and_birds
96,n02094433,toucan,1,other_mammals_and_birds
97,n02096294,drake,1,other_mammals_and_birds
98,n02099267,red-breasted merganser,1,other_mammals_and_birds
99,n02099601,goose,1,other_mammals_and_birds
100,n02100583,black swan,1,other_mammals_and_birds
101,n02100735,tusker,1,other_mammals_and_birds
102,n02100877,echidna,1,other_mammals_and_birds
103,n02101006,platypus,1,other_mammals_and_birds
104,n02101388,wallaby,1,other_mammals_and_birds
105,n02106166,koala,1,other_mammals_and_birds
106,n02106382,wombat,1,other_mammals_and_birds
107,n02106662,jellyfish,2,fish_reptiles_and_bugs
108,n02107142,sea anemone,2,fish_reptiles_and_bugs
109,n02108089,brain coral,2,fish_reptiles_and_bugs
110,n02108551,flatworm,2,fish_reptiles_and_bugs
111,n02109047,nematode,2,fish_reptiles_and_bugs
112,n02109525,conch,2,fish_reptiles_and_bugs
113,n02109961,snail,2,fish_reptiles_and_bugs
114,n02110341,slug,2,fish_reptiles_and_bugs
115,n02110806,sea slug,2,fish_reptiles_and_bugs
116,n02111277,chiton,2,fish_reptiles_and_bugs
117,n02112497,chambered nautilus,2,fish_reptiles_and_bugs
118,n02112826,Dungeness crab,2,fish_reptiles_and_bugs
119,n02113712,rock crab,2,fish_reptiles_and_bugs
120,n02113799,fiddler crab,2,fish_reptiles_and_bugs
121,n02114367,king crab,2,fish_reptiles_and_bugs
122,n02114548,American lobster,2,fish_reptiles_and_bugs
123,n02114712,spiny lobster,2,fish_reptiles_and_bugs
124,n02114855,crayfish,2,fish_reptiles_and_bugs
125,n02115641,hermit crab,2,fish_reptiles_and_bugs
126,n02116738,isopod,2,fish_reptiles_and_bugs
127,n02117135,white stork,1,other_mammals_and_birds
128,n02119022,black stork,1,other_mammals_and_birds
129,n02119789,spoonbill,1,other_mammals_and_birds
130,n02120079,flamingo,1,other_mammals_and_birds
131,n02120505,little blue heron,1,other_mammals_and_birds
132,n02123045,American egret,1,other_mammals_and_birds
133,n02123159,bittern,1,other_mammals_and_birds
134,n02123394,crane bird,1,other_mammals_and_birds
135,n02123597,limpkin,1,other_mammals_and_birds
136,n02124075,European gallinule,1,other_mammals_and_birds
137,n02125311,American coot,1,other_mammals_and_birds
138,n02127052,bustard,1,other_mammals_and_birds
139,n02128385,ruddy turnstone,1,other_mammals_and_birds
140,n02128757,red-backed sandpiper,1,other_mammals_and_birds
141,n02128925,redshank,1,other_mammals_and_birds
142,n02129165,dowitcher,1,other_mammals_and_birds
143,n02129604,oystercatcher,1,other_mammals_and_birds
144,n02130308,pelican,1,other_mammals_and_birds
145,n02132136,king penguin,1,other_mammals_and_birds
146,n02133161,albatross,1,other_mammals_and_birds
147,n02134084,grey whale,1,other_mammals_and_birds
148,n02134418,killer whale,1,other_mammals_and_birds
149,n02137549,dugong,1,other_mammals_and_birds
150,n02138441,sea lion,1,other_mammals_and_birds
151,n02165105,Chihuahua,0,dogs
152,n02165456,Japanese spaniel,0,dogs
153,n02167151,Maltese dog,0,dogs
154,n02168699,Pekinese,0,dogs
155,n02169497,Shih-Tzu,0,dogs
156,n02177972,Blenheim spaniel,0,dogs
157,n02190166,papillon,0,dogs
158,n02200198,toy terrier,0,dogs
159,n02206856,Rhodesian ridgeback,0,dogs
160,n02219486,Afghan hound,0,dogs
161,n02226429,basset,0,dogs
162,n02229544,beagle,0,dogs
163,n02231487,bloodhound,0,dogs
164,n02233338,bluetick,0,dogs
165,n02236044,black-and-tan coonhound,0,dogs
166,n02256656,Walker hound,0,dogs
167,n02259212,English foxhound,0,dogs
168,n02262449,redbone,0,dogs
169,n02264363,borzoi,0,dogs
170,n02268443,Irish wolfhound,0,dogs
171,n02268853,Italian greyhound,0,dogs
172,n02274822,whippet,0,dogs
173,n02277742,Ibizan hound,0,dogs
174,n02279972,Norwegian elkhound,0,dogs
175,n02280649,otterhound,0,dogs
176,n02281406,Saluki,0,dogs
177,n02281787,Scottish deerhound,0,dogs
178,n02283201,Weimaraner,0,dogs
179,n02317335,Staffordshire bullterrier,0,dogs
180,n02319095,American Staffordshire terrier,0,dogs
181,n02321529,Bedlington terrier,0,dogs
182,n02325366,Border terrier,0,dogs
183,n02326432,Kerry blue terrier,0,dogs
184,n02328150,Irish terrier,0,dogs
185,n02441942,Norfolk terrier,0,dogs
186,n02442845,Norwich terrier,0,dogs
187,n02443114,Yorkshire terrier,0,dogs
188,n02443484,wire-haired fox terrier,0,dogs
189,n02444819,Lakeland terrier,0,dogs
190,n02445715,Sealyham terrier,0,dogs
191,n02447366,Airedale,0,dogs
192,n02480495,cairn,0,dogs
193,n02480855,Australian terrier,0,dogs
194,n02481823,Dandie Dinmont,0,dogs
195,n02483362,Boston bull,0,dogs
196,n02483708,miniature schnauzer,0,dogs
197,n02484975,giant schnauzer,0,dogs
198,n02486261,standard schnauzer,0,dogs
199,n02486410,Scotch terrier,0,dogs
200,n02487347,Tibetan terrier,0,dogs
201,n02488291,silky terrier,0,dogs
202,n02488702,soft-coated wheaten terrier,0,dogs
203,n02489166,West Highland white terrier,0,dogs
204,n02490219,Lhasa,0,dogs
205,n02492660,flat-coated retriever,0,dogs
206,n02493509,curly-coated retriever,0,dogs
207,n02493793,golden retriever,0,dogs
208,n02494079,Labrador retriever,0,dogs
209,n02497673,Chesapeake Bay retriever,0,dogs
210,n02500267,German short-haired pointer,0,dogs
211,n02504013,vizsla,0,dogs
212,n02504458,English setter,0,dogs
213,n02508021,Irish setter,0,dogs
214,n02509815,Gordon setter,0,dogs
215,n02510455,Brittany spaniel,0,dogs
216,n02514041,clumber,0,dogs
217,n02536864,English springer,0,dogs
218,n02537525,Welsh springer spaniel,0,dogs
219,n02568087,cocker spaniel,0,dogs
220,n02640242,Sussex spaniel,0,dogs
221,n02641379,Irish water spaniel,0,dogs
222,n02666196,kuvasz,0,dogs
223,n02667093,schipperke,0,dogs
224,n02669723,groenendael,0,dogs
225,n02672831,malinois,0,dogs
226,n02676566,briard,0,dogs
227,n02680754,kelpie,0,dogs
228,n02687172,komondor,0,dogs
229,n02690373,Old English sheepdog,0,dogs
230,n02692877,Shetland sheepdog,0,dogs
231,n02701002,collie,0,dogs
232,n02704792,Border collie,0,dogs
233,n02708093,Bouvier des Flandres,0,dogs
234,n02727426,Rottweiler,0,dogs
235,n02730930,German shepherd,0,dogs
236,n02738535,Doberman,0,dogs
237,n02747177,miniature pinscher,0,dogs
238,n02764044,Greater Swiss Mountain dog,0,dogs
239,n02769748,Bernese mountain dog,0,dogs
240,n02773838,Appenzeller,0,dogs
241,n02776631,EntleBucher,0,dogs
242,n02777292,boxer,0,dogs
243,n02782093,bull mastiff,0,dogs
244,n02783161,Tibetan mastiff,0,dogs
245,n02786058,French bulldog,0,dogs
246,n02787622,Great Dane,0,dogs
247,n02788148,Saint Bernard,0,dogs
248,n02790996,Eskimo dog,0,dogs
249,n02791124,malamute,0,dogs
250,n02791270,Siberian husky,0,dogs
251,n02793495,dalmatian,0,dogs
252,n02794156,affenpinscher,0,dogs
253,n02795169,basenji,0,dogs
254,n02797295,pug,0,dogs
255,n02799071,Leonberg,0,dogs
256,n02802426,Newfoundland,0,dogs
257,n02804414,Great Pyrenees,0,dogs
258,n02804610,Samoyed,0,dogs
259,n02807133,Pomeranian,0,dogs
260,n02807616,chow,0,dogs
261,n02808304,keeshond,0,dogs
262,n02808440,Brabancon griffon,0,dogs
263,n02814533,Pembroke,0,dogs
264,n02814860,Cardigan,0,dogs
265,n02815834,toy poodle,0,dogs
266,n02817516,miniature poodle,0,dogs
267,n02823428,standard poodle,0,dogs
268,n02823750,Mexican hairless,0,dogs
269,n02824448,timber wolf,0,dogs
270,n02825657,white wolf,0,dogs
271,n02834397,red wolf,0,dogs
272,n02835271,coyote,0,dogs
273,n02837789,dingo,0,dogs
274,n02840245,dhole,0,dogs
275,n02841315,African hunting dog,0,dogs
276,n02843684,hyena,0,dogs
277,n02859443,red fox,0,dogs
278,n02860847,kit fox,0,dogs
279,n02865351,Arctic fox,0,dogs
280,n02869837,grey fox,0,dogs
281,n02870880,tabby,1,other_mammals_and_birds
282,n02871525,tiger cat,1,other_mammals_and_birds
283,n02872752,Persian cat,1,other_mammals_and_birds
284,n02877765,Siamese cat,1,other_mammals_and_birds
285,n02879718,Egyptian cat,1,other_mammals_and_birds
286,n02882647,cougar,1,other_mammals_and_birds
287,n02883205,lynx,1,other_mammals_and_birds
288,n02887489,leopard,1,other_mammals_and_birds
289,n02892201,snow leopard,1,other_mammals_and_birds
290,n02892767,jaguar,1,other_mammals_and_birds
291,n02894605,lion,1,other_mammals_and_birds
292,n02895154,tiger,1,other_mammals_and_birds
293,n02897820,cheetah,1,other_mammals_and_birds
294,n02898711,brown bear,1,other_mammals_and_birds
295,n02906734,American black bear,1,other_mammals_and_birds
296,n02909870,ice bear,1,other_mammals_and_birds
297,n02910353,sloth bear,1,other_mammals_and_birds
298,n02916936,mongoose,1,other_mammals_and_birds
299,n02917067,meerkat,1,other_mammals_and_birds
300,n02918964,tiger beetle,2,fish_reptiles_and_bugs
301,n02927161,ladybug,2,fish_reptiles_and_bugs
302,n02928608,ground beetle,2,fish_reptiles_and_bugs
303,n02929289,long-horned beetle,2,fish_reptiles_and_bugs
304,n02930766,leaf beetle,2,fish_reptiles_and_bugs
305,n02939185,dung beetle,2,fish_reptiles_and_bugs
306,n02942349,rhinoceros beetle,2,fish_reptiles_and_bugs
307,n02948072,weevil,2,fish_reptiles_and_bugs
308,n02950632,fly,2,fish_reptiles_and_bugs
309,n02950826,bee,2,fish_reptiles_and_bugs
310,n02951358,ant,2,fish_reptiles_and_bugs
311,n02951585,grasshopper,2,fish_reptiles_and_bugs
312,n02952374,cricket,2,fish_reptiles_and_bugs
313,n02956795,walking stick,2,fish_reptiles_and_bugs
314,n02963159,cockroach,2,fish_reptiles_and_bugs
315,n02965783,mantis,2,fish_reptiles_and_bugs
316,n02966193,cicada,2,fish_reptiles_and_bugs
317,n02966687,leafhopper,2,fish_reptiles_and_bugs
318,n02971356,lacewing,2,fish_reptiles_and_bugs
319,n02977058,dragonfly,2,fish_reptiles_and_bugs
320,n02979186,damselfly,2,fish_reptiles_and_bugs
321,n02980441,admiral,2,fish_reptiles_and_bugs
322,n02981792,ringlet,2,fish_reptiles_and_bugs
323,n02988304,monarch,2,fish_reptiles_and_bugs
324,n02992211,cabbage butterfly,2,fish_reptiles_and_bugs
325,n02992529,sulphur butterfly,2,fish_reptiles_and_bugs
326,n02997607,lycaenid,2,fish_reptiles_and_bugs
327,n03000134,starfish,2,fish_reptiles_and_bugs
328,n03000247,sea urchin,2,fish_reptiles_and_bugs
329,n03000684,sea cucumber,2,fish_reptiles_and_bugs
330,n03014440,wood rabbit,1,other_mammals_and_birds
331,n03014705,hare,1,other_mammals_and_birds
332,n03017168,Angora,1,other_mammals_and_birds
333,n03018349,hamster,1,other_mammals_and_birds
334,n03018712,porcupine,1,other_mammals_and_birds
335,n03020692,fox squirrel,1,other_mammals_and_birds
336,n03026506,marmot,1,other_mammals_and_birds
337,n03028079,beaver,1,other_mammals_and_birds
338,n03032252,guinea pig,1,other_mammals_and_birds
339,n03034663,sorrel,1,other_mammals_and_birds
340,n03041632,zebra,1,other_mammals_and_birds
341,n03042490,hog,1,other_mammals_and_birds
342,n03047690,wild boar,1,other_mammals_and_birds
343,n03062245,warthog,1,other_mammals_and_birds
344,n03063689,hippopotamus,1,other_mammals_and_birds
345,n03065424,ox,1,other_mammals_and_birds
346,n03068998,water buffalo,1,other_mammals_and_birds
347,n03071160,bison,1,other_mammals_and_birds
348,n03075097,ram,1,other_mammals_and_birds
349,n03075370,bighorn,1,other_mammals_and_birds
350,n03085013,ibex,1,other_mammals_and_birds
351,n03089624,hartebeest,1,other_mammals_and_birds
352,n03095699,impala,1,other_mammals_and_birds
353,n03100240,gazelle,1,other_mammals_and_birds
354,n03109150,Arabian camel,1,other_mammals_and_birds
355,n03110669,llama,1,other_mammals_and_birds
356,n03122295,weasel,1,other_mammals_and_birds
357,n03124170,mink,1,other_mammals_and_birds
358,n03126707,polecat,1,other_mammals_and_birds
359,n03127747,black-footed ferret,1,other_mammals_and_birds
360,n03127925,otter,1,other_mammals_and_birds
361,n03131574,skunk,1,other_mammals_and_birds
362,n03134739,badger,1,other_mammals_and_birds
363,n03141823,armadillo,1,other_mammals_and_birds
364,n03146219,three-toed sloth,1,other_mammals_and_birds
365,n03150511,orangutan,1,other_mammals_and_birds
366,n03160309,gorilla,1,other_mammals_and_birds
367,n03179701,chimpanzee,1,other_mammals_and_birds
368,n03180011,gibbon,1,other_mammals_and_birds
369,n03187595,siamang,1,other_mammals_and_birds
370,n03188531,guenon,1,other_mammals_and_birds
371,n03196217,patas,1,other_mammals_and_birds
372,n03201208,baboon,1,other_mammals_and_birds
373,n03207743,macaque,1,other_mammals_and_birds
374,n03207941,langur,1,other_mammals_and_birds
375,n03216828,colobus,1,other_mammals_and_birds
376,n03218198,proboscis monkey,1,other_mammals_and_birds
377,n03220513,marmoset,1,other_mammals_and_birds
378,n03223299,capuchin,1,other_mammals_and_birds
379,n03239726,howler monkey,1,other_mammals_and_birds
380,n03240683,titi,1,other_mammals_and_birds
381,n03249569,spider monkey,1,other_mammals_and_birds
382,n03250847,squirrel monkey,1,other_mammals_and_birds
383,n03255030,Madagascar cat,1,other_mammals_and_birds
384,n03259280,indri,1,other_mammals_and_birds
385,n03261776,Indian elephant,1,other_mammals_and_birds
386,n03266371,African elephant,1,other_mammals_and_birds
387,n03271574,lesser panda,1,other_mammals_and_birds
388,n03272010,giant panda,1,other_mammals_and_birds
389,n03272562,barracouta,2,fish_reptiles_and_bugs
390,n03273740,eel,2,fish_reptiles_and_bugs
391,n03290653,coho,2,fish_reptiles_and_bugs
392,n03291819,rock beauty,2,fish_reptiles_and_bugs
393,n03297495,anemone fish,2,fish_reptiles_and_bugs
394,n03301568,sturgeon,2,fish_reptiles_and_bugs
395,n03309356,gar,2,fish_reptiles_and_bugs
396,n03314780,lionfish,2,fish_reptiles_and_bugs
397,n03320519,puffer,2,fish_reptiles_and_bugs
398,n03325584,abacus,6,tools_and_instruments
399,n03329302,abaya,4,clothing_and_accessories
400,n03337140,academic gown,4,clothing_and_accessories
401,n03344393,accordion,6,tools_and_instruments
402,n03345487,acoustic guitar,6,tools_and_instruments
403,n03347037,aircraft carrier,7,vehicles_and_buildings
404,n03351979,airliner,7,vehicles_and_buildings
405,n03355925,airship,7,vehicles_and_buildings
406,n03358172,altar,5,furniture_and_appliances
407,n03359436,ambulance,7,vehicles_and_buildings
408,n03360622,amphibian,7,vehicles_and_buildings
409,n03372029,analog clock,5,furniture_and_appliances
410,n03376595,apiary,7,vehicles_and_buildings
411,n03379051,apron,4,clothing_and_accessories
412,n03384352,ashcan,5,furniture_and_appliances
413,n03388043,assault rifle,6,tools_and_instruments
414,n03388183,backpack,4,clothing_and_accessories
415,n03388549,bakery,7,vehicles_and_buildings
416,n03393912,balance beam,6,tools_and_instruments
417,n03394916,balloon,7,vehicles_and_buildings
418,n03400231,ballpoint,6,tools_and_instruments
419,n03404251,Band Aid,4,clothing_and_accessories
420,n03416489,banjo,6,tools_and_instruments
421,n03417042,bannister,5,furniture_and_appliances
422,n03420801,barbell,6,tools_and_instruments
423,n03424325,barber chair,5,furniture_and_appliances
424,n03425413,barbershop,7,vehicles_and_buildings
425,n03443371,barn,7,vehicles_and_buildings
426,n03444034,barometer,6,tools_and_instruments
427,n03445777,barrel,5,furniture_and_appliances
428,n03445924,barrow,6,tools_and_instruments
429,n03447447,baseball,6,tools_and_instruments
430,n03447721,basketball,6,tools_and_instruments
431,n03450230,bassinet,5,furniture_and_appliances
432,n03452741,bassoon,6,tools_and_instruments
433,n03457902,bathing cap,4,clothing_and_accessories
434,n03459775,bath towel,4,clothing_and_accessories
435,n03461385,bathtub,5,furniture_and_appliances
436,n03467068,beach wagon,7,vehicles_and_buildings
437,n03476684,beacon,7,vehicles_and_buildings
438,n03476991,beaker,3,food_plants_and_nature
439,n03478589,bearskin,4,clothing_and_accessories
440,n03481172,beer bottle,3,food_plants_and_nature
441,n03482405,beer glass,3,food_plants_and_nature
442,n03483316,bell cote,7,vehicles_and_buildings
443,n03483823,bib,4,clothing_and_accessories
444,n03484931,bicycle-built-for-two,7,vehicles_and_buildings
445,n03485407,bikini,4,clothing_and_accessories
446,n03485794,binder,6,tools_and_instruments
447,n03492542,binoculars,6,tools_and_instruments
448,n03492922,birdhouse,7,vehicles_and_buildings
449,n03494278,boathouse,7,vehicles_and_buildings
450,n03495258,bobsled,6,tools_and_instruments
451,n03496892,bolo tie,4,clothing_and_accessories
452,n03505504,bonnet,4,clothing_and_accessories
453,n03521675,bookcase,5,furniture_and_appliances
454,n03527444,bookshop,7,vehicles_and_buildings
455,n03529860,bottlecap,3,food_plants_and_nature
456,n03530642,bow,6,tools_and_instruments
457,n03534580,bow tie,4,clothing_and_accessories
458,n03535780,brass,5,furniture_and_appliances
459,n03538406,brassiere,4,clothing_and_accessories
460,n03543254,breakwater,7,vehicles_and_buildings
461,n03544143,breastplate,4,clothing_and_accessories
462,n03545756,broom,5,furniture_and_appliances
463,n03557692,bucket,5,furniture_and_appliances
464,n03558404,buckle,4,clothing_and_accessories
465,n03571625,bulletproof vest,4,clothing_and_accessories
466,n03584254,bullet train,7,vehicles_and_buildings
467,n03584829,butcher shop,7,vehicles_and_buildings
468,n03590841,cab,7,vehicles_and_buildings
469,n03594734,caldron,3,food_plants_and_nature
470,n03594945,candle,6,tools_and_instruments
471,n03595614,cannon,6,tools_and_instruments
472,n03598930,canoe,7,vehicles_and_buildings
473,n03599486,can opener,3,food_plants_and_nature
474,n03602883,cardigan,4,clothing_and_accessories
475,n03604400,car mirror,7,vehicles_and_buildings
476,n03617480,carousel,7,vehicles_and_buildings
477,n03623198,carpenter's kit,6,tools_and_instruments
478,n03627232,carton,5,furniture_and_appliances
479,n03630383,car wheel,7,vehicles_and_buildings
480,n03633091,cash machine,5,furniture_and_appliances
481,n03636649,cassette,6,tools_and_instruments
482,n03637318,cassette player,6,tools_and_instruments
483,n03642806,castle,7,vehicles_and_buildings
484,n03649909,catamaran,7,vehicles_and_buildings
485,n03657121,CD player,6,tools_and_instruments
486,n03661043,cello,6,tools_and_instruments
487,n03662601,cellular telephone,6,tools_and_instruments
488,n03666591,chain,5,furniture_and_appliances
489,n03670208,chainlink fence,7,vehicles_and_buildings
490,n03673027,chain mail,4,clothing_and_accessories
491,n03676483,chain saw,6,tools_and_instruments
492,n03680355,chest,5,furniture_and_appliances
493,n03690938,chiffonier,5,furniture_and_appliances
494,n03691459,chime,6,tools_and_instruments
495,n03697007,china cabinet,5,furniture_and_appliances
496,n03701391,Christmas stocking,4,clothing_and_accessories
497,n03709823,church,7,vehicles_and_buildings
498,n03710193,cinema,7,vehicles_and_buildings
499,n03710637,cleaver,3,food_plants_and_nature
500,n03710721,cliff dwelling,7,vehicles_and_buildings
501,n03717622,cloak,4,clothing_and_accessories
502,n03720891,clog,4,clothing_and_accessories
503,n03721384,cocktail shaker,3,food_plants_and_nature
504,n03724870,coffee mug,3,food_plants_and_nature
505,n03729826,coffeepot,3,food_plants_and_nature
506,n03733281,coil,6,tools_and_instruments
507,n03733805,combination lock,6,tools_and_instruments
508,n03742115,computer keyboard,6,tools_and_instruments
509,n03743016,confectionery,7,vehicles_and_buildings
510,n03757604,container ship,7,vehicles_and_buildings
511,n03759954,convertible,7,vehicles_and_buildings
512,n03761084,corkscrew,3,food_plants_and_nature
513,n03763968,cornet,6,tools_and_instruments
514,n03770679,cowboy boot,4,clothing_and_accessories
515,n03773504,cowboy hat,4,clothing_and_accessories
516,n03775071,cradle,5,furniture_and_appliances
517,n03777568,crane,7,vehicles_and_buildings
518,n03781787,crash helmet,4,clothing_and_accessories
519,n03785016,crate,5,furniture_and_appliances
520,n03786901,crib,5,furniture_and_appliances
521,n03787032,Crock Pot,3,food_plants_and_nature
522,n03788195,croquet ball,6,tools_and_instruments
523,n03788365,crutch,4,clothing_and_accessories
524,n03791053,cuirass,4,clothing_and_accessories
525,n03792782,dam,7,vehicles_and_buildings
526,n03793489,desk,5,furniture_and_appliances
527,n03794056,desktop computer,5,furniture_and_appliances
528,n03797390,dial telephone,6,tools_and_instruments
529,n03804744,diaper,4,clothing_and_accessories
530,n03805725,digital clock,5,furniture_and_appliances
531,n03816136,digital watch,4,clothing_and_accessories
532,n03825788,dining table,5,furniture_and_appliances
533,n03837869,dishrag,5,furniture_and_appliances
534,n03838899,dishwasher,5,furniture_and_appliances
535,n03841143,disk brake,6,tools_and_instruments
536,n03844815,dock,7,vehicles_and_buildings
537,n03852688,dogsled,7,vehicles_and_buildings
538,n03854815,dome,7,vehicles_and_buildings
539,n03857828,doormat,5,furniture_and_appliances
540,n03868242,drilling platform,7,vehicles_and_buildings
541,n03868863,drum,6,tools_and_instruments
542,n03874599,drumstick,6,tools_and_instruments
543,n03876231,dumbbell,6,tools_and_instruments
544,n03877472,Dutch oven,3,food_plants_and_nature
545,n03877674,electric fan,5,furniture_and_appliances
546,n03884397,electric guitar,6,tools_and_instruments
547,n03886762,electric locomotive,7,vehicles_and_buildings
548,n03887697,entertainment center,5,furniture_and_appliances
549,n03888257,envelope,6,tools_and_instruments
550,n03888605,espresso maker,3,food_plants_and_nature
551,n03891251,face powder,4,clothing_and_accessories
552,n03895866,feather boa,4,clothing_and_accessories
553,n03902125,file,5,furniture_and_appliances
554,n03908204,fireboat,7,vehicles_and_buildings
555,n03908714,fire engine,7,vehicles_and_buildings
556,n03909406,fire screen,5,furniture_and_appliances
557,n03920867,flagpole,7,vehicles_and_buildings
558,n03924679,flute,6,tools_and_instruments
559,n03929855,folding chair,5,furniture_and_appliances
560,n03930313,football helmet,4,clothing_and_accessories
561,n03930630,forklift,7,vehicles_and_buildings
562,n03940256,fountain,7,vehicles_and_buildings
563,n03950228,fountain pen,6,tools_and_instruments
564,n03954731,four-poster,5,furniture_and_appliances
565,n03956157,freight car,7,vehicles_and_buildings
566,n03967562,French horn,6,tools_and_instruments
567,n03970156,frying pan,3,food_plants_and_nature
568,n03973628,fur coat,4,clothing_and_accessories
569,n03974915,garbage truck,7,vehicles_and_buildings
570,n03976467,gasmask,4,clothing_and_accessories
571,n03977966,gas pump,7,vehicles_and_buildings
572,n03978966,goblet,3,food_plants_and_nature
573,n03980874,go-kart,7,vehicles_and_buildings
574,n03982232,golf ball,6,tools_and_instruments
575,n03982430,golfcart,7,vehicles_and_buildings
576,n04003241,gondola,7,vehicles_and_buildings
