class_idx,wnid,class_name,indoor,clip_indoor_frac,clip_indoor_prob,clip_label,disagree
68,n01930112,nematode,0,0.406,0.466,0,0
69,n01935395,earthworm,0,0.078,0.145,0,0
70,n01943899,conch,0,0.469,0.417,0,0
71,n01944390,snail,0,0.047,0.118,0,0
72,n01945685,slug,0,0.016,0.07,0,0
73,n01950731,sea slug,0,0.047,0.172,0,0
74,n01953361,cowrie,0,0.547,0.505,1,1
75,n01955084,chiton,0,0.062,0.198,0,0
76,n01956481,clam,0,0.328,0.387,0,0
77,n01963571,mussel,0,0.406,0.395,0,0
78,n01968897,chambered nautilus,0,0.703,0.642,1,1
79,n01978287,dungeness crab,0,0.484,0.492,0,0
80,n01978455,rock crab,0,0.094,0.183,0,0
81,n01980166,fiddler crab,0,0.109,0.177,0,0
82,n01981276,king crab,0,0.578,0.559,1,1
83,n01983481,american lobster,0,0.547,0.55,1,1
84,n01984695,spiny lobster,0,0.344,0.376,0,0
85,n01985128,crayfish,0,0.406,0.428,0,0
86,n01986214,hermit crab,0,0.188,0.335,0,0
87,n01986806,shrimp,0,0.859,0.708,1,1
88,n01990800,isopod,0,0.359,0.407,0,0
89,n01998183,barnacle,0,0.047,0.114,0,0
90,n02085620,chihuahua,1,0.625,0.577,1,0
91,n02086079,pekinese,1,0.609,0.546,1,0
92,n02087394,rhodesian ridgeback,1,0.328,0.451,0,1
93,n02090827,greyhound,1,0.406,0.469,0,1
94,n02092002,scottish deerhound,1,0.188,0.277,0,1
95,n02093256,staffordshire bullterrier,1,0.344,0.39,0,1
96,n02094433,yorkshire terrier,1,0.672,0.621,1,0
97,n02096294,australian terrier,1,0.438,0.462,0,1
98,n02099267,flat-coated retriever,1,0.359,0.422,0,1
99,n02099601,golden retriever,1,0.406,0.469,0,1
100,n02100583,vizsla,1,0.391,0.418,0,1
101,n02100735,english setter,1,0.359,0.427,0,1
102,n02100877,irish setter,1,0.469,0.505,0,1
103,n02101006,gordon setter,1,0.234,0.342,0,1
104,n02101388,brittany spaniel,1,0.359,0.455,0,1
105,n02106166,border collie,1,0.328,0.399,0,1
106,n02106382,bouvier des flandres,1,0.281,0.319,0,1
107,n02106662,german shepherd,1,0.297,0.381,0,1
108,n02107142,doberman,1,0.562,0.57,1,0
109,n02108089,boxer,1,0.531,0.561,1,0
110,n02108551,tibetan mastiff,1,0.172,0.249,0,1
111,n02109047,great dane,1,0.578,0.579,1,0
112,n02109525,saint bernard,1,0.469,0.527,0,1
113,n02109961,eskimo dog,1,0.25,0.329,0,1
114,n02110341,dalmatian,1,0.547,0.559,1,0
115,n02110806,basenji,1,0.453,0.508,0,1
116,n02111277,newfoundland,1,0.328,0.39,0,1
117,n02112497,griffon,1,0.5,0.498,0,1
118,n02112826,corgi,1,0.453,0.515,0,1
119,n02113712,miniature poodle,1,0.578,0.572,1,0
120,n02113799,standard poodle,1,0.438,0.491,0,1
121,n02114367,timber wolf,0,0.016,0.109,0,0
122,n02114548,white wolf,0,0.078,0.164,0,0
123,n02114712,red wolf,0,0.016,0.105,0,0
124,n02114855,coyote,0,0.016,0.056,0,0
125,n02115641,dingo,0,0.109,0.229,0,0
126,n02116738,african hunting dog,0,0.016,0.155,0,0
127,n02117135,hyena,0,0.031,0.141,0,0
128,n02119022,red fox,0,0.0,0.062,0,0
129,n02119789,kit fox,0,0.0,0.027,0,0
130,n02120079,arctic fox,0,0.031,0.104,0,0
131,n02120505,grey fox,0,0.062,0.103,0,0
132,n02123045,tabby,1,0.703,0.652,1,0
133,n02123159,tiger cat,1,0.375,0.397,0,1
134,n02123394,persian cat,1,0.875,0.76,1,0
135,n02123597,siamese cat,1,0.844,0.754,1,0
136,n02124075,egyptian cat,1,0.75,0.682,1,0
137,n02125311,cougar,0,0.078,0.179,0,0
138,n02127052,lynx,0,0.047,0.129,0,0
139,n02128385,leopard,0,0.062,0.215,0,0
140,n02128757,snow leopard,0,0.109,0.246,0,0
141,n02128925,jaguar,0,0.188,0.339,0,0
142,n02129165,lion,0,0.062,0.153,0,0
143,n02129604,tiger,0,0.109,0.224,0,0
144,n02130308,cheetah,0,0.078,0.189,0,0
145,n02132136,brown bear,0,0.016,0.126,0,0
146,n02133161,american black bear,0,0.062,0.153,0,0
147,n02134084,ice bear,0,0.109,0.273,0,0
148,n02134418,sloth bear,0,0.188,0.27,0,0
149,n02137549,mongoose,0,0.016,0.061,0,0
150,n02138441,meerkat,0,0.031,0.145,0,0
151,n02165105,tiger beetle,0,0.0,0.078,0,0
152,n02165456,ladybug,0,0.125,0.207,0,0
153,n02167151,ground beetle,0,0.031,0.174,0,0
154,n02168699,long-horned beetle,0,0.188,0.207,0,0
155,n02169497,leaf beetle,0,0.047,0.12,0,0
156,n02177972,weevil,0,0.016,0.119,0,0
157,n02190166,fly,0,0.0,0.045,0,0
158,n02200198,mosquito,0,0.172,0.215,0,0
159,n02206856,bee,0,0.016,0.09,0,0
160,n02219486,ant,0,0.141,0.24,0,0
161,n02226429,grasshopper,0,0.031,0.105,0,0
162,n02229544,cricket,0,0.094,0.189,0,0
163,n02231487,walking stick,0,0.281,0.305,0,0
164,n02233338,cockroach,0,0.625,0.567,1,1
165,n02236044,mantis,0,0.047,0.138,0,0
166,n02256656,cicada,0,0.109,0.173,0,0
167,n02259212,leafhopper,0,0.031,0.118,0,0
168,n02262449,mayfly,0,0.047,0.098,0,0
169,n02264363,lacewing,0,0.109,0.182,0,0
170,n02268443,dragonfly,0,0.0,0.035,0,0
171,n02268853,damselfly,0,0.016,0.038,0,0
172,n02274822,nymphalid,0,0.188,0.204,0,0
173,n02277742,ringlet,0,0.0,0.014,0,0
174,n02279972,monarch,0,0.0,0.059,0,0
175,n02280649,cabbage butterfly,0,0.0,0.024,0,0
176,n02281406,sulphur butterfly,0,0.0,0.036,0,0
177,n02281787,lycaenid,0,0.0,0.026,0,0
178,n02283201,moth,0,0.062,0.144,0,0
179,n02317335,starfish,0,0.078,0.182,0,0
180,n02319095,sea urchin,0,0.266,0.318,0,0
181,n02321529,sea cucumber,0,0.078,0.177,0,0
182,n02325366,wood rabbit,0,0.062,0.079,0,0
183,n02326432,hare,0,0.062,0.083,0,0
184,n02328150,angora,1,0.703,0.607,1,0
185,n02441942,weasel,0,0.219,0.214,0,0
186,n02442845,mink,0,0.094,0.099,0,0
187,n02443114,polecat,0,0.234,0.237,0,0
188,n02443484,black-footed ferret,0,0.484,0.449,0,0
189,n02444819,otter,0,0.109,0.157,0,0
190,n02445715,skunk,0,0.266,0.308,0,0
191,n02447366,badger,0,0.078,0.129,0,0
192,n02480495,orangutan,0,0.203,0.354,0,0
193,n02480855,gorilla,0,0.188,0.29,0,0
194,n02481823,chimpanzee,0,0.156,0.288,0,0
195,n02483362,gibbon,0,0.156,0.241,0,0
196,n02483708,siamang,0,0.156,0.252,0,0
197,n02484975,guenon,0,0.219,0.284,0,0
198,n02486261,patas,0,0.062,0.136,0,0
199,n02486410,baboon,0,0.062,0.131,0,0
200,n02487347,macaque,0,0.016,0.1,0,0
201,n02488291,langur,0,0.047,0.146,0,0
202,n02488702,colobus,0,0.062,0.164,0,0
203,n02489166,proboscis monkey,0,0.062,0.161,0,0
204,n02490219,marmoset,0,0.312,0.365,0,0
205,n02492660,howler monkey,0,0.062,0.143,0,0
206,n02493509,titi,0,0.203,0.273,0,0
207,n02493793,spider monkey,0,0.078,0.176,0,0
208,n02494079,squirrel monkey,0,0.109,0.203,0,0
209,n02497673,madagascar cat,0,0.203,0.286,0,0
210,n02500267,indri,0,0.0,0.137,0,0
211,n02504013,indian elephant,0,0.031,0.188,0,0
212,n02504458,african elephant,0,0.031,0.161,0,0
213,n02508021,raccoon,0,0.094,0.194,0,0
214,n02509815,lesser panda,0,0.172,0.279,0,0
215,n02510455,giant panda,0,0.203,0.351,0,0
216,n02514041,barracouta,0,0.062,0.097,0,0
217,n02536864,coho,0,0.031,0.161,0,0
218,n02537525,rainbow trout,0,0.047,0.108,0,0
219,n02568087,striped bass,0,0.094,0.166,0,0
220,n02640242,sturgeon,0,0.109,0.208,0,0
221,n02641379,gar,0,0.281,0.303,0,0
222,n02666196,abacus,1,0.938,0.802,1,0
223,n02667093,abaya,1,0.422,0.46,0,1
224,n02669723,academic gown,1,0.688,0.64,1,0
225,n02672831,accordion,1,0.516,0.531,1,0
226,n02676566,acoustic guitar,1,0.828,0.692,1,0
227,n02680754,adjustable wrench,1,0.641,0.618,1,0
228,n02687172,aircraft carrier,0,0.234,0.363,0,0
229,n02690373,airliner,0,0.125,0.258,0,0
230,n02692877,airship,0,0.234,0.257,0,0
231,n02701002,ambulance,0,0.375,0.43,0,0
232,n02704792,amphibian,0,0.234,0.325,0,0
233,n02708093,analog clock,1,0.828,0.774,1,0
234,n02727426,apiary,0,0.078,0.165,0,0
235,n02730930,apron,1,0.703,0.672,1,0
236,n02738535,armchair,1,0.859,0.852,1,0
237,n02747177,ashcan,0,0.266,0.298,0,0
238,n02764044,ax,0,0.656,0.582,1,1
239,n02769748,backpack,1,0.406,0.432,0,1
240,n02773838,bag,1,0.547,0.562,1,0
241,n02776631,bakery,0,0.938,0.862,1,1
242,n02777292,balance beam,1,0.797,0.742,1,0
243,n02782093,balloon,0,0.141,0.218,0,0
244,n02783161,ballpoint,1,0.891,0.774,1,0
245,n02786058,band aid,1,0.859,0.801,1,0
246,n02787622,banjo,1,0.703,0.614,1,0
247,n02788148,bannister,1,0.562,0.607,1,0
248,n02790996,barbell,1,0.906,0.834,1,0
249,n02791124,barber chair,1,0.938,0.902,1,0
250,n02791270,barbershop,1,0.828,0.79,1,0
251,n02793495,barn,0,0.109,0.264,0,0
252,n02794156,barometer,1,0.781,0.693,1,0
253,n02795169,barrel,0,0.562,0.567,1,1
254,n02797295,barrow,0,0.172,0.209,0,0
255,n02799071,baseball,0,0.422,0.427,0,0
256,n02802426,basketball,1,0.875,0.788,1,0
257,n02804414,bassinet,1,0.828,0.784,1,0
258,n02804610,bassoon,1,0.734,0.692,1,0
259,n02807133,bathing cap,1,0.438,0.44,0,1
260,n02807616,bathrobe,1,0.75,0.656,1,0
261,n02808304,bath towel,1,0.719,0.696,1,0
262,n02808440,bathtub,1,0.906,0.882,1,0
263,n02814533,beach wagon,0,0.203,0.291,0,0
264,n02814860,beacon,0,0.25,0.303,0,0
265,n02815834,beaker,1,0.891,0.756,1,0
266,n02817516,bearskin,0,0.516,0.518,1,1
267,n02823428,beer bottle,1,0.906,0.819,1,0
268,n02823750,beer glass,1,0.891,0.828,1,0
269,n02824448,bell,0,0.719,0.713,1,1
270,n02825657,bell cote,0,0.266,0.377,0,0
271,n02834397,bib,1,0.578,0.564,1,0
272,n02835271,bicycle-built-for-two,0,0.141,0.277,0,0
273,n02837789,bikini,1,0.172,0.249,0,1
274,n02840245,binder,1,0.531,0.563,1,0
275,n02841315,binoculars,1,0.156,0.219,0,1
276,n02843684,birdhouse,0,0.172,0.218,0,0
277,n02859443,boathouse,0,0.328,0.41,0,0
278,n02860847,bobsled,0,0.688,0.647,1,1
279,n02865351,bolo tie,1,0.547,0.554,1,0
280,n02869837,bonnet,1,0.484,0.503,0,1
281,n02870880,bookcase,1,0.984,0.984,1,0
282,n02871525,bookshop,1,0.984,0.92,1,0
283,n02872752,boot,1,0.359,0.403,0,1
284,n02877765,bottlecap,1,0.859,0.724,1,0
285,n02879718,bow,0,0.391,0.427,0,0
286,n02882647,bowling pin,1,0.953,0.917,1,0
287,n02883205,bow tie,1,0.688,0.629,1,0
288,n02887489,brace,1,0.578,0.545,1,0
289,n02892201,brass,0,0.188,0.312,0,0
290,n02892767,brassiere,1,0.516,0.518,1,0
291,n02894605,breakwater,0,0.047,0.149,0,0
292,n02895154,breastplate,0,0.75,0.697,1,1
293,n02897820,brick,0,0.312,0.388,0,0
294,n02898711,bridge,0,0.094,0.244,0,0
295,n02906734,broom,1,0.641,0.615,1,0
296,n02909870,bucket,1,0.406,0.43,0,1
297,n02910353,buckle,1,0.516,0.505,1,0
298,n02916936,bulletproof vest,0,0.484,0.505,0,0
299,n02917067,bullet train,0,0.906,0.757,1,1
300,n02918964,bumper car,0,0.828,0.772,1,1
301,n02927161,butcher shop,1,0.844,0.77,1,0
302,n02928608,button,1,0.844,0.736,1,0
303,n02929289,buttress,0,0.5,0.51,0,0
304,n02930766,cab,0,0.406,0.433,0,0
305,n02939185,caldron,1,0.688,0.662,1,0
306,n02942349,camcorder,1,0.281,0.361,0,1
307,n02948072,candle,1,0.906,0.833,1,0
308,n02950632,cannon,0,0.281,0.35,0,0
309,n02950826,cannon,0,0.344,0.429,0,0
310,n02951358,canoe,0,0.047,0.216,0,0
311,n02951585,can opener,1,0.75,0.702,1,0
312,n02952374,canteen,0,0.625,0.57,1,1
313,n02956795,cap opener,1,0.547,0.56,1,0
314,n02963159,cardigan,1,0.562,0.512,1,0
315,n02965783,car mirror,0,0.172,0.308,0,0
316,n02966193,carousel,0,0.812,0.725,1,1
317,n02966687,carpenter's kit,1,0.609,0.568,1,0
318,n02971356,carton,1,0.688,0.605,1,0
319,n02977058,cash machine,0,0.812,0.721,1,1
320,n02979186,cassette player,1,0.5,0.522,0,1
321,n02980441,castle,0,0.25,0.359,0,0
322,n02981792,catamaran,0,0.359,0.422,0,0
323,n02988304,cd player,1,0.703,0.641,1,0
324,n02992211,cello,1,0.703,0.657,1,0
325,n02992529,cellular telephone,1,0.5,0.511,0,1
326,n02997607,ceramic ware,1,0.938,0.893,1,0
327,n03000134,chainlink fence,0,0.094,0.155,0,0
328,n03000247,chain mail,0,0.453,0.479,0,0
329,n03000684,chain saw,0,0.141,0.277,0,0
330,n03014440,chessman,1,0.812,0.735,1,0
331,n03014705,chest,1,0.938,0.877,1,0
332,n03017168,chime,1,0.812,0.712,1,0
333,n03018349,china cabinet,1,1.0,0.995,1,0
334,n03018712,chinese lantern,1,0.453,0.477,0,1
335,n03020692,chisel,1,0.812,0.735,1,0
336,n03026506,christmas stocking,1,0.984,0.919,1,0
337,n03028079,church,0,0.281,0.384,0,0
338,n03032252,cinema,0,0.75,0.655,1,1
339,n03034663,circular saw,1,0.828,0.695,1,0
340,n03041632,cleaver,1,0.594,0.61,1,0
341,n03042490,cliff dwelling,0,0.875,0.778,1,1
342,n03047690,clog,1,0.531,0.557,1,0
343,n03062245,cocktail shaker,1,0.891,0.796,1,0
344,n03063689,coffeepot,1,0.953,0.894,1,0
345,n03065424,coil,1,0.75,0.783,1,0
346,n03068998,collar,1,0.234,0.338,0,1
347,n03071160,colonnade,0,0.484,0.493,0,0
348,n03075097,comb,1,0.656,0.644,1,0
349,n03075370,combination lock,1,0.484,0.513,0,1
350,n03085013,computer keyboard,1,0.984,0.832,1,0
351,n03089624,confectionery,1,0.953,0.913,1,0
352,n03095699,container ship,0,0.266,0.36,0,0
353,n03100240,convertible,0,0.188,0.252,0,0
354,n03109150,corkscrew,1,0.719,0.666,1,0
355,n03110669,cornet,1,0.781,0.71,1,0
356,n03122295,covered wagon,0,0.312,0.391,0,0
357,n03124170,cowboy hat,1,0.391,0.438,0,1
358,n03126707,crane,0,0.156,0.277,0,0
359,n03127747,crash helmet,0,0.234,0.357,0,0
360,n03127925,crate,1,0.797,0.724,1,0
361,n03131574,crib,1,0.969,0.928,1,0
362,n03134739,croquet ball,0,0.141,0.234,0,0
363,n03141823,crutch,1,0.562,0.577,1,0
364,n03146219,cuirass,0,0.75,0.734,1,1
365,n03150511,curling iron,1,0.359,0.474,0,1
366,n03160309,dam,0,0.406,0.457,0,0
367,n03179701,desk,1,1.0,0.986,1,0
368,n03180011,desktop computer,1,0.922,0.834,1,0
369,n03187595,dial telephone,1,0.953,0.886,1,0
370,n03188531,diaper,1,0.562,0.567,1,0
371,n03196217,digital clock,1,0.938,0.856,1,0
372,n03201208,dining table,1,0.984,0.973,1,0
373,n03207743,dishrag,1,0.781,0.662,1,0
374,n03207941,dishwasher,1,0.969,0.934,1,0
375,n03216828,dock,0,0.078,0.206,0,0
376,n03218198,dogsled,0,0.047,0.269,0,0
377,n03220513,dome,0,0.562,0.551,1,1
378,n03223299,doormat,1,0.688,0.63,1,0
379,n03239726,drill,1,0.828,0.735,1,0
380,n03240683,drilling platform,0,0.281,0.348,0,0
381,n03249569,drum,1,0.797,0.744,1,0
382,n03250847,drumstick,1,0.812,0.715,1,0
383,n03255030,dumbbell,1,0.953,0.873,1,0
384,n03259280,dutch oven,1,0.344,0.373,0,1
385,n03261776,earphone,1,0.406,0.488,0,1
386,n03266371,eggbeater,1,0.891,0.766,1,0
387,n03271574,electric fan,1,0.703,0.701,1,0
388,n03272010,electric guitar,1,0.625,0.583,1,0
389,n03272562,electric locomotive,0,0.203,0.37,0,0
390,n03273740,electric range,1,0.922,0.896,1,0
391,n03290653,entertainment center,1,1.0,0.996,1,0
392,n03291819,envelope,1,0.672,0.649,1,0
393,n03297495,espresso maker,1,0.875,0.788,1,0
394,n03301568,euphonium,1,0.875,0.82,1,0
395,n03309356,eyepatch,1,0.781,0.719,1,0
396,n03314780,face powder,1,0.625,0.583,1,0
397,n03320519,fancy dress,1,0.812,0.743,1,0
398,n03325584,feather boa,1,0.766,0.71,1,0
399,n03329302,ferris wheel,0,0.094,0.241,0,0
400,n03337140,file,1,0.922,0.905,1,0
401,n03344393,fireboat,0,0.406,0.429,0,0
402,n03345487,fire engine,0,0.531,0.486,1,1
403,n03347037,fire screen,1,0.656,0.66,1,0
404,n03351979,fishing rod,0,0.109,0.184,0,0
405,n03355925,flagpole,0,0.031,0.131,0,0
406,n03358172,flash,1,0.25,0.363,0,1
407,n03359436,flash memory,1,0.328,0.374,0,1
408,n03360622,flat bench,1,0.938,0.797,1,0
409,n03372029,flute,1,0.594,0.598,1,0
410,n03376595,folding chair,1,0.453,0.478,0,1
411,n03379051,football helmet,0,0.75,0.671,1,1
412,n03384352,forklift,0,0.469,0.502,0,0
413,n03388043,fountain,0,0.094,0.213,0,0
414,n03388183,fountain pen,1,0.953,0.849,1,0
415,n03388549,four-poster,1,0.984,0.987,1,0
416,n03393912,freight car,0,0.234,0.321,0,0
417,n03394916,french horn,1,0.844,0.794,1,0
418,n03400231,frying pan,1,0.891,0.794,1,0
419,n03404251,fur coat,1,0.328,0.361,0,1
420,n03416489,garage,0,0.688,0.615,1,1
421,n03417042,garbage truck,0,0.078,0.2,0,0
422,n03420801,garrison cap,1,0.688,0.598,1,0
423,n03424325,gasmask,1,0.734,0.665,1,0
424,n03425413,gas pump,0,0.344,0.404,0,0
425,n03443371,goblet,1,0.969,0.9,1,0
426,n03444034,go-kart,0,0.438,0.479,0,0
427,n03445777,golf ball,0,0.516,0.518,1,1
428,n03445924,golfcart,0,0.125,0.273,0,0
429,n03447447,gondola,0,0.172,0.365,0,0
430,n03447721,gong,1,0.844,0.783,1,0
431,n03450230,gown,1,0.656,0.604,1,0
432,n03452741,grand piano,1,0.984,0.97,1,0
433,n03457902,greenhouse,0,0.609,0.568,1,1
434,n03459775,grille,0,0.203,0.279,0,0
435,n03461385,grocery store,1,0.875,0.865,1,0
436,n03467068,guillotine,0,0.797,0.767,1,1
437,n03476684,hair slide,1,0.75,0.646,1,0
438,n03476991,hair spray,1,0.703,0.699,1,0
439,n03478589,half track,0,0.109,0.217,0,0
440,n03481172,hammer,1,0.766,0.696,1,0
441,n03482405,hamper,1,0.703,0.631,1,0
442,n03483316,hand blower,1,0.625,0.633,1,0
443,n03483823,hand calculator,1,0.844,0.73,1,0
444,n03484931,hand glass,1,0.766,0.698,1,0
445,n03485407,hand-held computer,1,0.578,0.553,1,0
446,n03485794,handkerchief,1,0.625,0.601,1,0
447,n03492542,hard disc,1,0.766,0.64,1,0
448,n03492922,hard hat,0,0.609,0.589,1,1
449,n03494278,harmonica,1,0.734,0.642,1,0
450,n03495258,harp,1,0.672,0.645,1,0
451,n03496892,harvester,0,0.047,0.194,0,0
452,n03505504,headscarf,1,0.297,0.321,0,1
453,n03521675,hipflask,1,0.562,0.523,1,0
454,n03527444,holster,1,0.891,0.771,1,0
455,n03529860,home theater,1,1.0,0.991,1,0
456,n03530642,honeycomb,0,0.547,0.484,1,1
457,n03534580,hoopskirt,1,0.812,0.788,1,0
458,n03535780,horizontal bar,1,0.656,0.609,1,0
459,n03538406,horse cart,0,0.109,0.226,0,0
460,n03543254,hot plate,1,0.547,0.511,1,0
461,n03544143,hourglass,1,0.922,0.835,1,0
462,n03545756,house of cards,1,0.953,0.928,1,0
463,n03557692,ice maker,1,0.562,0.575,1,0
464,n03558404,ice skate,0,0.375,0.448,0,0
465,n03571625,ink bottle,1,0.859,0.752,1,0
466,n03584254,ipod,1,0.906,0.813,1,0
467,n03584829,iron,1,0.875,0.724,1,0
468,n03590841,jack-o'-lantern,0,0.797,0.69,1,1
469,n03594734,jean,1,0.469,0.498,0,1
470,n03594945,jeep,0,0.062,0.14,0,0
471,n03595614,jersey,1,0.453,0.465,0,1
472,n03598930,jigsaw puzzle,1,0.828,0.776,1,0
473,n03599486,jinrikisha,0,0.109,0.206,0,0
474,n03602883,joystick,1,0.844,0.744,1,0
475,n03604400,jumper,1,0.531,0.533,1,0
476,n03617480,kimono,1,0.5,0.513,0,1
477,n03623198,knee pad,0,0.562,0.53,1,1
478,n03627232,knot,1,0.453,0.474,0,1
479,n03630383,lab coat,1,0.812,0.712,1,0
480,n03633091,ladle,1,0.922,0.858,1,0
481,n03636649,lamp,1,0.938,0.935,1,0
482,n03637318,lampshade,1,0.984,0.952,1,0
483,n03642806,laptop,1,0.812,0.755,1,0
484,n03649909,lawn mower,0,0.078,0.221,0,0
485,n03657121,lens cap,1,0.531,0.517,1,0
486,n03661043,library,1,0.984,0.981,1,0
487,n03662601,lifeboat,0,0.391,0.451,0,0
488,n03666591,lighter,1,0.719,0.653,1,0
489,n03670208,limousine,0,0.344,0.423,0,0
490,n03673027,liner,0,0.312,0.416,0,0
491,n03676483,lipstick,1,0.688,0.615,1,0
492,n03680355,loafer,1,0.703,0.666,1,0
493,n03690938,lotion,1,0.719,0.648,1,0
494,n03691459,loudspeaker,1,0.844,0.771,1,0
495,n03697007,lumbermill,0,0.641,0.639,1,1
496,n03701391,machine gun,0,0.438,0.513,0,0
497,n03709823,mailbag,0,0.281,0.391,0,0
498,n03710193,mailbox,0,0.234,0.342,0,0
499,n03710637,maillot,1,0.281,0.335,0,1
500,n03710721,maillot,1,0.219,0.311,0,1
501,n03717622,manhole cover,0,0.0,0.072,0,0
502,n03720891,maraca,1,0.938,0.877,1,0
503,n03721384,marimba,1,0.734,0.715,1,0
504,n03724870,mask,1,0.688,0.692,1,0
505,n03729826,matchstick,1,0.922,0.788,1,0
506,n03733281,maze,0,0.328,0.359,0,0
507,n03733805,measuring cup,1,0.906,0.855,1,0
508,n03742115,medicine chest,1,0.984,0.979,1,0
509,n03743016,megalith,0,0.031,0.175,0,0
510,n03757604,metronome,1,0.891,0.836,1,0
511,n03759954,microphone,1,0.828,0.716,1,0
512,n03761084,microwave,1,0.984,0.932,1,0
513,n03763968,military uniform,1,0.328,0.45,0,1
514,n03770679,minivan,0,0.078,0.234,0,0
515,n03773504,missile,0,0.359,0.406,0,0
516,n03775071,mitten,1,0.594,0.566,1,0
517,n03777568,model t,0,0.344,0.443,0,0
518,n03781787,monitor,1,0.812,0.761,1,0
519,n03785016,moped,0,0.109,0.208,0,0
520,n03786901,mortar,1,0.828,0.743,1,0
521,n03787032,mortarboard,1,0.656,0.616,1,0
522,n03788195,mosque,0,0.25,0.359,0,0
523,n03788365,mosquito net,1,0.859,0.839,1,0
524,n03791053,motor scooter,0,0.062,0.174,0,0
525,n03792782,mountain bike,0,0.156,0.279,0,0
526,n03793489,mouse,1,0.922,0.873,1,0
527,n03794056,mousetrap,1,0.688,0.645,1,0
528,n03797390,mug,1,0.859,0.743,1,0
529,n03804744,nail,1,0.375,0.401,0,1
530,n03805725,nail polish,1,0.609,0.619,1,0
531,n03816136,needle,1,0.906,0.743,1,0
532,n03825788,nipple,1,0.75,0.674,1,0
533,n03837869,obelisk,0,0.156,0.24,0,0
534,n03838899,oboe,1,0.766,0.698,1,0
535,n03841143,odometer,1,0.734,0.615,1,0
