wnid,label
n02321529,3
n02325366,5
n02326432,7
n02328150,1
n02441942,5
n02442845,6
n02443114,2
n02443484,4
n02444819,7
n02445715,7
n02447366,3
n02480495,2
n02480855,3
n02481823,3
n02483362,6
n02483708,2
n02484975,5
n02486261,0
n02486410,7
n02487347,6
n02488291,0
n02488702,2
n02489166,4
n02490219,0
n02492660,0
n02493509,2
n02493793,7
n02494079,6
n02497673,3
n02500267,5
n02504013,3
n02504458,6
n02508021,4
n02509815,5
n02510455,1
n02514041,6
n02536864,1
n02537525,1
n02568087,3
n02640242,3
n02641379,0
n02666196,2
n02667093,3
n02669723,0
n02672831,0
n02676566,3
n02680754,3
n02687172,7
n02690373,6
n02692877,1
n02701002,1
n02704792,1
n02708093,6
n02727426,7
n02730930,3
n02738535,5
n02747177,2
n02764044,7
n02769748,3
n02773838,2
n02776631,2
n02777292,1
n02782093,4
n02783161,7
n02786058,0
n02787622,1
n02788148,5
n02790996,6
n02791124,0
n02791270,2
n02793495,5
n02794156,6
n02795169,4
n02797295,4
n02799071,2
n02802426,0
n02804414,2
n02804610,5
n02807133,3
n02807616,7
n02808304,2
n02808440,0
n02814533,0
n02814860,5
n02815834,3
n02817516,5
n02823428,3
n02823750,1
n02824448,3
n02825657,1
n02834397,1
n02835271,7
n02837789,4
n02840245,6
n02841315,7
n02843684,1
n02859443,7
n02860847,1
n02865351,6
n02869837,4
n02870880,3
n02871525,6
n02872752,6
n02877765,2
n02879718,6
n02882647,0
n02883205,7
n02887489,6
n02892201,3
n02892767,3
n02894605,2
n02895154,1
n02897820,0
n02898711,3
n02906734,3
n02909870,2
n02910353,5
n02916936,6
n02917067,7
n02918964,2
n02927161,7
n02928608,4
n02929289,2
n02930766,7
n02939185,2
n02942349,4
n02948072,1
n02950632,2
n02950826,4
n02951358,0
n02951585,5
n02952374,7
n02956795,1
n02963159,1
n02965783,1
n02966193,4
n02966687,2
n02971356,7
n02977058,4
n02979186,0
n02980441,5
n02981792,2
n02988304,3
n02992211,4
n02992529,5
n02997607,7
n03000134,2
n03000247,5
n03000684,5
n03014440,6
n03014705,5
n03017168,4
n03018349,4
n03018712,5
n03020692,1
n03026506,5
n03028079,6
n03032252,3
n03034663,3
n03041632,7
n03042490,4
n03047690,1
n03062245,4
n03063689,3
n03065424,7
n03068998,0
n03071160,6
n03075097,1
n03075370,0
n03085013,6
n03089624,5
n03095699,7
n03100240,7
n03109150,4
n03110669,7
n03122295,1
n03124170,0
n03126707,3
n03127747,6
n03127925,7
n03131574,2
n03134739,7
n03141823,7
n03146219,5
n03150511,7
n03160309,5
n03179701,0
n03180011,1
n03187595,4
n03188531,4
n03196217,0
n03201208,1
n03207743,5
n03207941,3
n03216828,2
n03218198,4
n03220513,4
n03223299,1
n03239726,1
n03240683,3
n03249569,1
n03250847,7
n03255030,3
n03259280,3
n03261776,3
n03266371,4
n03271574,3
n03272010,2
n03272562,0
n03273740,2
n03290653,7
n03291819,5
n03297495,1
n03301568,2
n03309356,3
n03314780,7
n03320519,1
n03325584,3
n03329302,0
n03337140,7
n03344393,4
n03345487,4
n03347037,5
n03351979,2
n03355925,6
n03358172,3
n03359436,4
n03360622,1
n03372029,6
n03376595,1
n03379051,1
n03384352,1
n03388043,3
n03388183,1
n03388549,0
n03393912,6
n03394916,3
n03400231,7
n03404251,7
n03416489,6
n03417042,4
n03420801,2
n03424325,4
n03425413,0
n03443371,5
n03444034,3
n03445777,5
n03445924,4
n03447447,0
n03447721,7
n03450230,4
n03452741,1
n03457902,7
n03459775,1
n03461385,1
n03467068,6
n03476684,6
n03476991,0
n03478589,5
n03481172,0
n03482405,0
n03483316,0
n03483823,7
n03484931,3
n03485407,0
n03485794,1
n03492542,0
n03492922,2
n03494278,1
n03495258,6
n03496892,0
n03505504,7
n03521675,7
n03527444,7
n03529860,6
n03530642,0
n03534580,6
n03535780,2
n03538406,6
n03543254,5
n03544143,3
n03545756,0
n03557692,2
n03558404,2
n03571625,7
n03584254,3
n03584829,0
n03590841,3
n03594734,6
n03594945,0
n03595614,1
n03598930,5
n03599486,6
n03602883,7
n03604400,3
n03617480,2
n03623198,2
n03627232,7
n03630383,2
n03633091,0
n03636649,1
n03637318,0
n03642806,3
n03649909,4
n03657121,1
n03661043,7
n03662601,2
n03666591,3
n03670208,5
n03673027,4
n03676483,7
n03680355,3
n03690938,2
n03691459,1
n03697007,4
n03701391,4
n03709823,3
n03710193,0
n03710637,2
n03710721,0
n03717622,3
n03720891,3
n03721384,2
n03724870,0
n03729826,4
n03733281,0
n03733805,3
n03742115,5
n03743016,1
n03757604,1
n03759954,4
n03761084,6
n03763968,4
n03770679,2
n03773504,0
n03775071,3
n03777568,0
n03781787,7
n03785016,5
n03786901,5
n03787032,6
n03788195,7
n03788365,6
n03791053,6
n03792782,6
n03793489,0
n03794056,5
n03797390,1
n03804744,4
n03805725,4
n03816136,7
n03825788,2
n03837869,1
n03838899,6
n03841143,5
n03844815,5
n03852688,1
n03854815,1
n03857828,3
n03868242,2
n03868863,5
n03874599,7
n03876231,7
n03877472,1
n03877674,7
n03884397,7
n03886762,3
n03887697,3
n03888257,6
n03888605,2
n03891251,1
n03895866,5
n03902125,4
n03908204,7
n03908714,7
n03909406,6
n03920867,7
n03924679,3
n03929855,3
n03930313,0
n03930630,0
n03940256,1
n03950228,5
n03954731,2
n03956157,0
n03967562,6
n03970156,2
n03973628,4
n03974915,5
n03976467,2
n03977966,2
n03978966,1
n03980874,7
n03982232,7
n03982430,5
n04003241,2
n04004767,3
n04005630,5
n04009552,3
n04021028,1
n04033901,7
n04033995,3
n04037443,6
n04041544,5
n04044716,2
n04049303,0
n04050066,4
n04065272,1
n04069434,0
n04070727,7
n04074963,5
n04081281,3
n04086273,4
n04090263,5
n04102037,7
n04102406,4
n04111531,5
n04116512,6
n04118021,7
n04118538,7
n04118776,6
n04120489,1
n04125021,5
n04127521,2
n04131690,0
n04133789,0
n04136333,1
n04140064,5
n04141076,4
n04141327,1
n04141975,5
n04143140,5
n04146614,4
n04147183,1
n04148054,0
n04153751,7
n04154565,2
n04162706,6
n04179913,5
n04185804,7
n04192698,4
n04194127,4
n04200800,5
n04201297,7
n04204238,7
n04204347,5
n04205318,0
n04208210,3
n04209133,2
n04209239,3
n04210120,7
n04220250,7
n04229816,2
n04233124,3
n04235860,2
n04239436,2
n04243546,3
n04251144,7
n04252077,2
n04252225,1
n04254680,0
n04254777,5
n04258138,7
n04259630,1
n04270147,0
n04273569,0
n04275548,0
n04295881,7
n04310018,5
n04317175,6
n04325704,2
n04326547,7
n04332074,3
n04346328,1
n04347754,1
n04349306,4
n04350905,6
n04355338,4
n04367480,0
n04371430,4
n04373704,7
n04373894,7
n04376876,7
n04381587,5
n04389033,5
n04392985,5
n04398044,6
n04404412,2
n04409515,5
n04411264,6
n04417672,6
n04418357,1
n04421872,4
n04423845,7
n04428191,0
n04435653,2
n04442312,4
n04443257,5
n04453156,0
n04458633,4
n04462240,0
n04464615,3
n04465501,1
n04467665,1
n04482393,1
n04483307,5
n04486054,1
n04487081,3
n04487394,2
n04489817,4
n04491638,1
n04496726,0
n04498389,0
n04501370,1
n04507155,3
n04509417,0
n04515003,4
n04517823,2
n04522168,6
n04523525,7
n04525305,4
n04525584,6
n04532106,6
n04536866,7
n04540053,0
n04542943,2
n04548362,1
n04550184,3
n04552348,2
n04553703,1
n04554684,2
n04555897,4
n04562935,4
n04576002,0
n04579432,3
n04584207,1
n04589890,0
n04590129,6
n04591157,1
n04596742,5
n04613696,4
n06267145,4
n06359193,1
n06595351,1
n06785654,3
n07711080,5
n07711569,3
n07713763,1
n07714448,2
n07714571,2
n07714990,6
n07715103,2
n07715221,3
n07716358,1
n07716906,7
n07717410,5
n07717556,5
n07718472,4
n07718747,6
n07719213,4
n07720277,6
n07720875,5
n07721195,4
n07721678,6
n07722485,4
n07723039,0
n07723177,2
n07723559,7
n07725531,4
n07726095,5
n07727048,3
n07729485,3
n07730033,2
n07730406,1
n07732747,4
n07734292,1
n07734744,7
n07735404,6
n07735510,6
n07735803,3
n07736692,6
n07737745,0
n07739344,7
n07742313,1
n07743544,0
n07743902,2
n07744246,0
n07744811,7
n07745466,3
n07745940,1
n07746186,0
n07747607,2
n07749446,2
n07749582,3
n07749969,5
n07751451,4
n07753113,5
n07753275,2
n07753592,4
n07754684,5
n07757132,7
n07758680,2
n07760859,1
n07762913,7
n07764155,4
n07765208,3
n07765361,0
n07766173,2
n07767171,2
n07767549,5
n07768694,4
n07769584,0
n07770763,2
n07771212,6
n07772147,1
n07772274,2
n07772788,4
n07772935,5
n07774719,3
n07775050,7
n07775197,4
n07929351,1
n09193705,5
n09246464,5
n09256479,4
n09270735,1
n09288635,2
n09332890,6
n09344324,6
n09399592,1
n09421951,3
n09428293,0
n09468604,1
n09472597,7
n11608250,1
n11636835,3
n11664418,6
n11695974,3
n11703669,4
n11709205,2
n11709674,7
n11712282,3
n11721337,0
n11725821,6
n11727540,6
n11733054,5
n11736694,1
n11748811,3
n11756669,0
n11757851,1
n11759404,1
n11759853,1
n11770256,6
n11793779,3
n11805956,3
n11807979,0
n11810358,6
n11821184,5
n11826198,4
n11839568,1
n11859737,6
n11879895,2
n11887119,5
n11888800,4
n11889619,6
n11901294,2
n11901597,6
n11901977,2
n11903671,7
n11904109,1
n11906917,5
n11907100,6
n11908846,7
n11921395,2
n11923397,6
n11939491,6
n11943660,6
n11943992,6
n11947802,2
n11950345,2
n11955896,2
n11958080,1
n11960245,3
n11962272,0
n11969607,6
n11971248,2
n11971783,3
n11978233,4
n11980318,5
n12023407,4
n12023726,5
n12043673,3
n12043836,0
n12044467,4
n12047345,1
n12047884,2
n12049282,6
n12049562,1
n12050533,7
n12051103,4
n12052787,6
n12055516,7
n12056217,6
n12058630,0
n12059314,2
n12059625,5
n12062468,7
n12064389,3
n12065316,7
n12069679,0
n12070016,6
n12072722,0
n12073991,1
n12074408,4
n12074867,0
n12075010,2
n12075151,3
n12076223,1
n12076577,1
n12083591,3
n12084890,1
n12085267,6
n12086012,4
n12093329,3
n12144580,5
n12154773,5
n12158031,6
n12172364,5
n12189987,5
n12190410,5
n12199790,0
n12201580,0
n12202936,4
n12242409,0
n12261808,2
n12266796,3
n12267677,4
n12269241,4
n12272883,3
n12276872,7
n12278650,3
n12281788,5
n12281974,3
n12282737,2
n12284262,4
n12290748,7
n12293723,4
n12301445,4
n12302071,4
n12304703,0
n12317296,2
n12345899,6
n12360108,1
n12401684,2
n12403994,2
n12407079,1
n12407222,5
n12478768,4
n12492106,1
n12495895,4
n12496427,3
n12496949,6
n12513613,5
n12513933,4
n12523475,1
n12527738,0
n12544539,0
n12560282,7
n12570394,5
n12570972,6
n12582231,6
n12606438,3
n12620546,7
n12658118,2
n12663023,3
n12683407,1
n12713866,0
n12717072,5
n12726670,0
n12727101,2
n12727518,5
n12741792,1
n12753007,6
n12754003,4
n12754981,4
n12755225,5
n12755727,0
n12756457,3
n12765115,5
n12768682,2
n12774299,0
n12830222,3
n12833149,6
n12833985,4
n12836862,4
n12879527,5
n12884260,5
n12890265,0
n12916511,2
n12946849,4
n12966945,5
n12985420,6
n12985857,0
n12987056,6
n12998815,7
n13001930,6
n13011595,5
n13032115,5
n13037406,4
n13040303,6
n13043926,2
n13044778,0
n13049953,2
n13052670,5
n13054560,5
n13060190,0
n13111881,2
n13133613,4
n13136316,7
